source,target,target,target,target,genre,imageurl,id
Sia,Frou Frou,Emilíana Torrini,Imogen Heap,australian dance,australian dance,790817bd35948bd3d178a44a03928b0748efd5e6.jpg,AR6ENUY1187B994158
Slim Dusty,John Williamson,Lee Kernaghan,Troy Cassar-Daley,australian country,australian country,646593cbfabde20cf746215526b9464739f2a097.jpg,ARCS4GZ1187FB469EB
Taylor Swift,Carrie Underwood,Miranda Lambert,Kellie Pickler,teen pop,teen pop,04bdcfa06410b3e3fffe93e2a000d0d79521e5ac.jpg,ARS54I31187FB46721
Teleman,George Philipp Telemann,Georg Philipp Telemann,Adult Jazz,romantic,romantic,8b2f3055cb15ff7bc452ed9a9c7d4c1cc9b88138.jpg,ARTNRNK13B4FF6D4CA
The Beatles,The Hollies,The Zombies,The Monkees,british invasion,british invasion,fce3a73bfc6028030554cd0af14e42b227e2e80b.jpg,AR6XZ861187FB4CECD
The Weeknd,Frank Ocean,The-Dream,Drake,indie r&b,indie r&b,b7a684b6a7300014fe17b93e334b5bea2be9c2a2.jpg,ARYUDWF12F2B89BB33
Tiësto,Kaskade,Swedish House Mafia,Afrojack,progressive house,progressive house,8519bc4c55f87c65ab7329fac9a7c08ea47190db.jpg,ARIW30O1187FB5A29A
Tomaso Albinoni,Albinoni,Tomaso Giovanni Albinoni,Antonio Vivaldi,classical,classical,d13868304b903ced2371bc14d5e05240a43cf1c2.jpg,ARZCCGX11F4C83D6DE
Tony Bennett,Sammy Davis,Mel Tormé,Frank Sinatra,christmas,christmas,c882c14abeea4a113bc029e342b5413b445fcc66.jpg,AR4ZNBW1187FB554B8
Van Morrison,Cat Stevens,Steve Winwood,Jackson Browne,folk rock,folk rock,c5c7f6dec12ae6f2b7cc92cc51ee341047f323d3.jpg,ARNAQSX1187B9ADBE4
Wolfgang Amadeus Mozart,Amadeus Mozart,Johann Sebastian Bach,Ludwig van Beethoven,classical christmas,classical christmas,2e7d4f7373412a29da4fa6ae4732396168662f9f.jpg,ARWCAKO1187FB38932
